City,K,NR2,Actual Num Cells
Milan,2,2,8
Milan,2,3,18
Milan,2,4,32
Milan,2,5,50
Milan,2,6,72
Milan,2,7,98
Milan,3,2,12
Milan,3,3,27
Milan,3,4,48
Milan,3,5,66
Milan,3,6,88
Milan,3,7,114
Milan,4,2,16
Milan,4,3,36
Milan,4,4,57
Milan,4,5,84
Milan,4,6,117
Milan,4,7,143
Milan,5,2,20
Milan,5,3,45
Milan,5,4,73
Milan,5,6,142
Milan,5,5,109
Milan,5,7,181
Milan,6,2,24
Milan,6,3,54
Milan,6,5,134
Milan,6,4,89
Milan,6,7,230
Milan,6,6,178
Milan,10,2,37
Milan,10,3,72
Milan,10,4,114
Milan,10,5,168
Milan,10,6,212
Milan,10,7,251
Milan,15,2,54
Milan,15,4,172
Milan,15,3,109
Milan,15,5,235
Milan,15,6,301
Milan,20,3,126
Milan,15,7,353
Milan,20,2,71
Milan,20,5,252
Milan,20,6,318
Milan,20,4,189
Milan,20,7,370
