City,Random Flag,NR2,K,Actual Num Cells,MAPE miMo vs Original,MAPE miMo Enhanced vs miMo,MAPE miMo Enhanced vs Original
Milan,False,2,2,8,85.01,-33.95,22.19
Milan,False,2,3,12,43.50,-14.46,22.75
Milan,False,2,4,16,39.39,-15.14,18.28
Milan,False,2,5,20,35.73,-13.36,17.61
Milan,False,2,6,24,38.20,-12.56,20.85
Milan,False,2,10,37,22.52,-7.14,13.78
Milan,False,2,15,54,21.88,-9.91,9.80
Milan,False,2,20,71,13.44,-6.04,6.58
Milan,False,3,2,18,55.66,-23.36,19.29
Milan,False,3,3,27,30.31,-13.15,13.18
Milan,False,3,4,36,14.82,-4.22,9.98
Milan,False,3,5,45,25.17,-10.26,12.33
Milan,False,3,6,54,15.95,-8.79,5.76
Milan,False,3,10,72,12.63,-8.91,2.60
Milan,False,3,15,109,3.77,-4.99,-1.40
Milan,False,3,20,126,-1.43,-2.19,-3.58
Milan,False,4,2,32,48.29,-21.10,17.00
Milan,False,4,3,48,14.57,-7.75,5.69
Milan,False,4,4,57,4.65,0.28,4.95
Milan,False,4,5,73,9.41,-3.21,5.90
Milan,False,4,6,89,7.84,-6.50,0.82
Milan,False,4,10,114,4.30,-5.38,-1.31
Milan,False,4,15,172,-7.37,0.04,-7.33
Milan,False,4,20,189,-9.57,-0.09,-9.64
Milan,False,5,2,50,23.73,-10.68,10.52
Milan,False,5,3,66,7.99,-4.54,3.09
Milan,False,5,4,84,1.34,-1.22,0.11
Milan,False,5,5,109,-1.54,2.95,1.36
Milan,False,5,6,134,1.14,-2.17,-1.05
Milan,False,5,10,168,0.18,-6.87,-6.71
Milan,False,5,15,235,-11.20,-0.83,-11.94
Milan,False,5,20,252,-12.58,0.97,-11.72
Milan,False,6,2,72,19.81,-12.20,5.19
Milan,False,6,3,88,1.57,1.16,2.75
Milan,False,6,4,117,-0.99,-1.04,-2.01
Milan,False,6,5,142,-3.20,-0.01,-3.22
Milan,False,6,6,178,-3.72,-0.08,-3.80
Milan,False,6,10,212,-5.73,-3.52,-9.06
Milan,False,6,15,301,-12.96,-1.37,-14.15
Milan,False,6,20,318,-14.60,0.33,-14.32
Milan,False,7,2,98,9.93,-5.74,3.62
Milan,False,7,3,114,0.11,-1.28,-1.17
Milan,False,7,4,143,-2.71,0.69,-2.03
Milan,False,7,5,181,-4.93,0.10,-4.83
Milan,False,7,6,230,-6.77,0.94,-5.90
Milan,False,7,10,251,-8.98,-1.28,-10.14
Milan,False,7,15,353,-16.11,2.61,-13.92
Milan,False,7,20,370,-16.14,1.08,-15.23
